number,trial_id,id,url,is_nsfw,subject_id,trial_number,prompt,created_at,experiment_name,containsNSFW,filename,filepath,reference,trial_type,trial_code,curation,Experience,experiment_name1,Duration..in.seconds.,imagenumber,choice,cosine,nvariant,imvariant,aggregate_id
19,66f3f6e28fc41826ca81d1ab,66f3f6e38fc41826ca81d1ae,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ5_2.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ5,black male and female sitting on a dark green bench. female has yellow dress. blur background. cartoon realistic style,2024-09-25T11:41:22Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ5_2.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ5_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ5.png,Copying,Q5_F5_People_C,2,2,Artist_final,1197,3,FALSE,0.8228191248557407,NA,NA,NA
20,66f3f6e28fc41826ca81d1ab,66f3f6e38fc41826ca81d1af,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ5_3.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ5,black male and female sitting on a dark green bench. female has yellow dress. blur background. cartoon realistic style,2024-09-25T11:41:22Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ5_3.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ5_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ5.png,Copying,Q5_F5_People_C,2,2,Artist_final,1197,4,FALSE,0.8618178866754389,NA,NA,NA
21,66f3f7448fc41826ca81d1b0,66f3f7448fc41826ca81d1b1,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ4_0.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ4,"still life painting of apples in the basket, 4 apples are out of basket",2024-09-25T11:43:00Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ4_0.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ4_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,2,2,Artist_final,1197,1,FALSE,0.8876579010670171,NA,NA,NA
22,66f3f7448fc41826ca81d1b0,66f3f7448fc41826ca81d1b2,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ4_1.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ4,"still life painting of apples in the basket, 4 apples are out of basket",2024-09-25T11:43:00Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ4_1.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ4_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,2,2,Artist_final,1197,2,TRUE,0.8941567228970466,NA,NA,NA
23,66f3f7448fc41826ca81d1b0,66f3f7448fc41826ca81d1b3,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ4_2.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ4,"still life painting of apples in the basket, 4 apples are out of basket",2024-09-25T11:43:00Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ4_2.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ4_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,2,2,Artist_final,1197,3,FALSE,0.8900521264683152,NA,NA,NA
24,66f3f7448fc41826ca81d1b0,66f3f7448fc41826ca81d1b4,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ4_3.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ4,"still life painting of apples in the basket, 4 apples are out of basket",2024-09-25T11:43:00Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ4_3.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ4_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,2,2,Artist_final,1197,4,FALSE,0.8956964700674311,NA,NA,NA
25,66f3f7da8fc41826ca81d1b5,66f3f7da8fc41826ca81d1b6,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_0.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q3,Painting of a penguin T-shirt boy roller skating near Miami beach pop style painting,2024-09-25T11:45:30Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q3_0.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q3.png,Creative,QA3_A3_Penguin_C,1,2,Artist_final,1197,1,TRUE,0.7766856127495426,NA,NA,NA
26,66f3f7da8fc41826ca81d1b5,66f3f7da8fc41826ca81d1b7,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_1.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q3,Painting of a penguin T-shirt boy roller skating near Miami beach pop style painting,2024-09-25T11:45:30Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q3_1.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q3.png,Creative,QA3_A3_Penguin_C,1,2,Artist_final,1197,2,FALSE,0.7486629850758646,NA,NA,NA
27,66f3f7da8fc41826ca81d1b5,66f3f7da8fc41826ca81d1b8,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_2.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q3,Painting of a penguin T-shirt boy roller skating near Miami beach pop style painting,2024-09-25T11:45:30Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q3_2.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q3.png,Creative,QA3_A3_Penguin_C,1,2,Artist_final,1197,3,FALSE,0.7549347393232888,NA,NA,NA
28,66f3f7da8fc41826ca81d1b5,66f3f7da8fc41826ca81d1b9,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_3.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q3,Painting of a penguin T-shirt boy roller skating near Miami beach pop style painting,2024-09-25T11:45:30Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q3_3.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q3_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q3.png,Creative,QA3_A3_Penguin_C,1,2,Artist_final,1197,4,FALSE,0.7671302205518346,NA,NA,NA
29,66f3f8388fc41826ca81d1ba,66f3f8388fc41826ca81d1bb,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ1_0.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ1,"Photograph of a medieval castle bouncing made with black and white pin-hole camera, birthday party with lots of balloons and wild horses.",2024-09-25T11:47:04Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ1_0.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ1_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ1.png,Creative,Q1_A4_Castle_C,2,2,Artist_final,1197,1,FALSE,0.7204196460006895,NA,NA,NA
30,66f3f8388fc41826ca81d1ba,66f3f8388fc41826ca81d1bc,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ1_1.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ1,"Photograph of a medieval castle bouncing made with black and white pin-hole camera, birthday party with lots of balloons and wild horses.",2024-09-25T11:47:04Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ1_1.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ1_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ1.png,Creative,Q1_A4_Castle_C,2,2,Artist_final,1197,2,TRUE,0.6821856398909802,NA,NA,NA
31,66f3f8388fc41826ca81d1ba,66f3f8388fc41826ca81d1bd,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ1_2.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ1,"Photograph of a medieval castle bouncing made with black and white pin-hole camera, birthday party with lots of balloons and wild horses.",2024-09-25T11:47:04Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ1_2.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ1_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ1.png,Creative,Q1_A4_Castle_C,2,2,Artist_final,1197,3,FALSE,0.7276957669410176,NA,NA,NA
32,66f3f8388fc41826ca81d1ba,66f3f8388fc41826ca81d1be,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ1_3.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ1,"Photograph of a medieval castle bouncing made with black and white pin-hole camera, birthday party with lots of balloons and wild horses.",2024-09-25T11:47:04Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ1_3.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ1_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ1.png,Creative,Q1_A4_Castle_C,2,2,Artist_final,1197,4,FALSE,0.7367377364655362,NA,NA,NA
33,66f3f8768fc41826ca81d1bf,66f3f8768fc41826ca81d1c0,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_0.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q2,A cartoon landscape with trees award winning photograph 3D wild fire shopping mall and Donald Trump,2024-09-25T11:48:06Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q2_0.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q2.png,Creative,Q42_A2_Cartoon_C,1,2,Artist_final,1197,1,TRUE,0.7249847193810884,NA,NA,NA
34,66f3f8768fc41826ca81d1bf,66f3f8768fc41826ca81d1c1,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_1.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q2,A cartoon landscape with trees award winning photograph 3D wild fire shopping mall and Donald Trump,2024-09-25T11:48:06Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q2_1.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q2.png,Creative,Q42_A2_Cartoon_C,1,2,Artist_final,1197,2,FALSE,0.713884715240114,NA,NA,NA
35,66f3f8768fc41826ca81d1bf,66f3f8778fc41826ca81d1c2,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_2.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q2,A cartoon landscape with trees award winning photograph 3D wild fire shopping mall and Donald Trump,2024-09-25T11:48:06Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q2_2.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q2.png,Creative,Q42_A2_Cartoon_C,1,2,Artist_final,1197,3,FALSE,0.7314984234511503,NA,NA,NA
36,66f3f8768fc41826ca81d1bf,66f3f8778fc41826ca81d1c3,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_3.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q2,A cartoon landscape with trees award winning photograph 3D wild fire shopping mall and Donald Trump,2024-09-25T11:48:06Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q2_3.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q2_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q2.png,Creative,Q42_A2_Cartoon_C,1,2,Artist_final,1197,4,FALSE,0.7596310970048822,NA,NA,NA
37,66f3f8d18fc41826ca81d1c4,66f3f8d18fc41826ca81d1c5,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_0.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q1,"A photo of a gray classic Mini Cooper in background far away, in forground forest full of magic mushrooms like Alice wonderland, witches",2024-09-25T11:49:37Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q1_0.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q1.png,Creative,QA1_A1_Car_C,4,2,Artist_final,1197,1,FALSE,0.8006251350607986,NA,NA,NA
38,66f3f8d18fc41826ca81d1c4,66f3f8d18fc41826ca81d1c6,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_1.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q1,"A photo of a gray classic Mini Cooper in background far away, in forground forest full of magic mushrooms like Alice wonderland, witches",2024-09-25T11:49:37Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q1_1.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q1.png,Creative,QA1_A1_Car_C,4,2,Artist_final,1197,2,FALSE,0.8884172889160514,NA,NA,NA
39,66f3f8d18fc41826ca81d1c4,66f3f8d18fc41826ca81d1c7,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_2.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q1,"A photo of a gray classic Mini Cooper in background far away, in forground forest full of magic mushrooms like Alice wonderland, witches",2024-09-25T11:49:37Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q1_2.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q1.png,Creative,QA1_A1_Car_C,4,2,Artist_final,1197,3,FALSE,0.778193124847548,NA,NA,NA
40,66f3f8d18fc41826ca81d1c4,66f3f8d18fc41826ca81d1c8,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_3.png,FALSE,FS_2BbT7DpAdCeXEoz,Aesthetics Q1,"A photo of a gray classic Mini Cooper in background far away, in forground forest full of magic mushrooms like Alice wonderland, witches",2024-09-25T11:49:37Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_Aesthetics Q1_3.png,results/FS_2BbT7DpAdCeXEoz_Aesthetics Q1_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/Aesthetics Q1.png,Creative,QA1_A1_Car_C,4,2,Artist_final,1197,4,TRUE,0.7523976400022172,NA,NA,NA
49,66f476508fc41826ca81d200,66f476508fc41826ca81d201,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ4_0.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ4,"still life painting of apples in a wover basket, slightly cartoonist, no smooth gradients, sligthly retro colors",2024-09-25T20:45:04Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ4_0.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ4_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,4,2,Artist_final,2373,1,FALSE,0.9114774377908369,NA,NA,NA
50,66f476508fc41826ca81d200,66f476508fc41826ca81d202,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ4_1.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ4,"still life painting of apples in a wover basket, slightly cartoonist, no smooth gradients, sligthly retro colors",2024-09-25T20:45:04Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ4_1.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ4_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,4,2,Artist_final,2373,2,FALSE,0.9162243870480558,NA,NA,NA
51,66f476508fc41826ca81d200,66f476508fc41826ca81d203,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ4_2.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ4,"still life painting of apples in a wover basket, slightly cartoonist, no smooth gradients, sligthly retro colors",2024-09-25T20:45:04Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ4_2.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ4_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,4,2,Artist_final,2373,3,FALSE,0.8856490092321024,NA,NA,NA
52,66f476508fc41826ca81d200,66f476508fc41826ca81d204,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ4_3.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ4,"still life painting of apples in a wover basket, slightly cartoonist, no smooth gradients, sligthly retro colors",2024-09-25T20:45:04Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ4_3.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ4_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ4.png,Copying,Q4_F4_Apples_C,4,2,Artist_final,2373,4,TRUE,0.897937338039058,NA,NA,NA
53,66f476af8fc41826ca81d205,66f476af8fc41826ca81d206,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ3_0.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ3,"fantasy dream land, oasis, pond in the bottom right corner with a waterfall, few palm trees, mountains in the background, gradient sky from blue to yellow, some colorful flowers too",2024-09-25T20:46:39Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ3_0.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ3_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,2373,1,FALSE,0.927361232811896,NA,NA,NA
54,66f476af8fc41826ca81d205,66f476af8fc41826ca81d207,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ3_1.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ3,"fantasy dream land, oasis, pond in the bottom right corner with a waterfall, few palm trees, mountains in the background, gradient sky from blue to yellow, some colorful flowers too",2024-09-25T20:46:39Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ3_1.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ3_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,2373,2,FALSE,0.9211608995053925,NA,NA,NA
55,66f476af8fc41826ca81d205,66f476af8fc41826ca81d208,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2l6wXhS7TFhxbpA_FaithfulQ3_2.png,FALSE,FS_2l6wXhS7TFhxbpA,FaithfulQ3,"fantasy dream land, oasis, pond in the bottom right corner with a waterfall, few palm trees, mountains in the background, gradient sky from blue to yellow, some colorful flowers too",2024-09-25T20:46:39Z,Artist_final,0,FS_2l6wXhS7TFhxbpA_FaithfulQ3_2.png,results/FS_2l6wXhS7TFhxbpA_FaithfulQ3_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,2373,3,TRUE,0.9096993831432242,NA,NA,NA
